timestamp,soil_raw,temperature_c,humidity_pct,plant_id,soil_condition,irrigation_label,session_id,label_source
2026-01-07T14:00:00,286,29.7,74.5,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T14:10:00,314,29.7,82.9,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T14:20:00,320,29.6,76.0,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T14:30:00,336,29.3,71.7,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T14:40:00,336,29.7,76.3,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T14:50:00,348,29.5,72.6,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T15:00:00,368,29.3,72.4,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T15:10:00,376,30.0,75.8,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T15:20:00,389,29.9,73.2,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T15:30:00,394,29.0,75.0,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T15:40:00,405,29.6,73.5,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T15:50:00,413,30.0,74.0,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T16:00:00,425,30.0,74.3,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T16:10:00,432,29.9,67.3,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T16:20:00,425,29.5,75.6,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T16:30:00,428,29.0,71.2,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T16:40:00,454,28.9,70.0,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T16:50:00,461,29.3,73.6,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T17:00:00,454,29.2,74.2,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T17:10:00,454,29.5,71.5,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T17:20:00,471,29.3,76.3,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T17:30:00,481,28.7,70.6,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T17:40:00,491,28.1,74.1,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T17:50:00,488,28.3,73.3,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T18:00:00,487,28.4,74.8,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T18:10:00,488,28.1,76.2,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T18:20:00,498,27.7,72.7,DEMO_plant_1,moist,WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T18:30:00,499,27.9,77.7,DEMO_plant_1,moist,WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T18:40:00,499,27.4,76.3,DEMO_plant_1,moist,WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
2026-01-07T18:50:00,520,27.2,70.7,DEMO_plant_1,dry,WATER,DEMO_SYNTHETIC_session_04,synthetic_demo
