timestamp,soil_raw,temperature_c,humidity_pct,plant_id,soil_condition,irrigation_label,session_id,label_source
2026-01-13T15:00:00,320,30.5,68.6,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_07,synthetic_demo
2026-01-13T15:10:00,325,30.1,72.9,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_07,synthetic_demo
2026-01-13T15:20:00,353,30.9,75.0,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_07,synthetic_demo
2026-01-13T15:30:00,352,30.2,66.1,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_07,synthetic_demo
2026-01-13T15:40:00,374,29.6,74.6,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_07,synthetic_demo
2026-01-13T15:50:00,377,29.8,76.8,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_07,synthetic_demo
2026-01-13T16:00:00,392,29.1,73.6,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_07,synthetic_demo
2026-01-13T16:10:00,392,30.1,74.5,DEMO_plant_1,wet,NO_WATER,DEMO_SYNTHETIC_session_07,synthetic_demo
2026-01-13T16:20:00,401,30.0,70.8,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_07,synthetic_demo
2026-01-13T16:30:00,419,29.9,72.8,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_07,synthetic_demo
2026-01-13T16:40:00,431,30.4,67.7,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_07,synthetic_demo
2026-01-13T16:50:00,434,30.3,65.6,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_07,synthetic_demo
2026-01-13T17:00:00,434,29.7,76.2,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_07,synthetic_demo
2026-01-13T17:10:00,441,28.8,71.5,DEMO_plant_1,moist,NO_WATER,DEMO_SYNTHETIC_session_07,synthetic_demo
